2026-04-24 | Codex session | AGENTS.md; src/context/agent-update-log.txt | Replaced legacy storage-rate AGENTS instructions with STORE Internal Platform-specific guidance covering PPT package generation, historical dashboards, finance/proforma workflows, reporting, and automation; created the missing agent update log path referenced by project instructions. | Not run | No backend-design log created; README remains generic Next.js boilerplate and could be updated separately if desired.
2026-04-24 | Codex session | AGENTS.md; src/context/agent-update-log.txt | Added a dedicated Excel parsing section to AGENTS.md covering no invented cells, no unapproved hard-coded workbook values, and a requirement to keep spreadsheet parsing systems uniform across similar workflows. | Not run | If more workbook families are added later, AGENTS guidance may need a short note about when fixed mappings are acceptable.
2026-04-24 | Codex session | src/components/historical/TokenDashboardView.tsx | Moved the internal historical dashboard Back to directory action from the range/control row into the page header action area so it matches the app's standard directory-navigation placement. | cmd /c node_modules\\.bin\\tsc.cmd --noEmit | If internal dashboard header actions expand further, consider grouping Back to directory and Upload data consistently across historical pages.
2026-04-29 | Codex session | src/app/historical-data-upload/page.tsx | Added a historical-only property creation form that saves disabled daily-summary property configs, refreshes historical property options, and selects the new property for MSR, budget, and JSON upload targets. | cmd /c node_modules\\.bin\\tsc.cmd --noEmit | Manual browser verification still needed for creating a property against the configured Firebase environment.
2026-04-29 | Codex session | src/app/historical-data-upload/page.tsx | Added deletion for disabled historical-only property configs from the historical upload page, refreshing property options and clearing upload targets when the deleted property was selected. | cmd /c node_modules\\.bin\\tsc.cmd --noEmit | Manual browser verification still needed against Firebase; active Daily Flash properties remain managed from /daily-summary.
2026-04-29 | Codex session | src/lib/historical/snapshotDashboard.ts | Changed historical dashboard display-name resolution so configured property labels take priority over Firestore or MSR snapshot property names. | cmd /c node_modules\\.bin\\tsc.cmd --noEmit | Existing share links should show corrected names after the app reloads or the route cache refreshes.
2026-04-30 | Claude Code (Opus 4.7) | src/lib/workflowDirectory.ts; src/app/deal-analysis/page.tsx; src/app/deal-analysis/ui/DealAnalysisForm.tsx; src/app/api/deal-analysis/route.ts; src/lib/dealAnalysis.ts; tests/dealAnalysis.test.ts | Added Deal Analysis automation: workflow directory card, /deal-analysis page with upload form and LLM-inferred result card (with provenance banner), /api/deal-analysis route that parses uploaded xlsx/csv via summarizeWorkbook and calls OpenAI for a pursue/pass/investigate recommendation. Parsing, prompt building, and response validation live in src/lib/dealAnalysis.ts. | npm test (dealAnalysis.test.ts, 5/5 pass); tsc --noEmit clean | LLM receives a 60-row x 20-col preview per sheet — for very large broker packages we may need smarter sheet selection or chunking. No persistence layer yet (results are display-only).
2026-04-30 | Claude Code (Opus 4.7) | src/lib/graph.ts; src/lib/ingestMsrEmails.ts; src/lib/dealTracker.ts; src/lib/dealAnalysis.ts; src/app/api/deal-tracker/route.ts; src/app/api/deal-analysis/route.ts; src/app/deal-analysis/ui/DealAnalysisForm.tsx; tests/dealTracker.test.ts; tests/dealAnalysis.test.ts | Wired Deal Analysis to the SharePoint-hosted Master Deal Tracker via Microsoft Graph (read-only, app-only client_credentials, Files.Read.All). Centralized Graph token + share-link resolution + driveItem download in src/lib/graph.ts (refactored ingestMsrEmails to share). Added typed dealTracker parser that normalizes currency/percent/yes-no fields while preserving raw cell strings for provenance. /api/deal-tracker GET fetches+parses with 5-min in-memory cache and ?refresh=1. Form now shows a deal picker (active-only by default, toggle for all), refresh button, and a selected-deal summary card; workbook upload is now optional. Analysis prompt was extended to merge tracker context with optional workbook preview. New env var: MS_DEAL_TRACKER_SHARE_URL. | npm test (10/10 pass across dealAnalysis + dealTracker); tsc --noEmit clean | Tracker fetch is read-only — no write-back to SharePoint yet. Cache is per-process; on serverless this resets per invocation. If the file moves or is unshared, the /shares lookup will 404 and the picker will surface the error.
2026-04-30 | Claude Code (Opus 4.7) | src/lib/dealTracker.ts; src/lib/dealAnalysis.ts; src/lib/dealAnalysisStore.ts; src/lib/dealTrackerWrite.ts; src/app/api/deal-tracker/route.ts; src/app/api/deal-analysis/route.ts; src/app/api/deal-analysis/[dealNumber]/route.ts; src/app/deal-analysis/ui/DealAnalysisForm.tsx; src/app/deal-analysis/ui/AnalysisDisplay.tsx; src/app/deal-analysis/[dealNumber]/page.tsx; tests/dealAnalysis.test.ts; tests/dealTracker.test.ts | Added hybrid storage for Deal Analysis: full runs persist to Firestore (collection dealAnalyses with per-deal runs subcollection); 4-column AI summary (AI Verdict / AI Confidence / AI Last Run / AI Link) writes back to the SharePoint Excel via Graph workbook tables API on every successful run. New /deal-analysis/[dealNumber] page shows latest run + run history. Picker now shows latest verdict tag per deal; selected-deal card includes prior-analysis link. LLM system prompt now identifies STORE Management (Phoenix, storestoragemanagement.com) and switches lens between Acquisition (cap rate, basis, NOI durability, exit) and Management (operator quality, fee economics, ramp, termination). Parser now extracts Deal Type. Used Files.ReadWrite.All on existing app reg. | npm test (10/10 pass dealAnalysis + dealTracker); tsc --noEmit clean | Write-back is fire-and-forget after Firestore save: failures are surfaced to the UI as a banner but do not fail the run. dealTrackerWrite assumes the workbook contains an Excel Table; if BD removes the Table formatting the route will return a clear error. Per-deal page uses Next 15 promise-style params via React.use().
2026-04-30 | Claude Code (Opus 4.7) | src/lib/dealTracker.ts; src/lib/dealAnalysisStore.ts; src/app/api/deal-analysis/saved/route.ts; src/app/api/deal-analysis/[dealNumber]/runs/[runId]/route.ts; src/app/deal-analysis/saved/page.tsx; src/app/deal-analysis/[dealNumber]/page.tsx; src/app/deal-analysis/page.tsx | Added saved-analyses browser at /deal-analysis/saved with verdict + text filters and a refresh control. Per-deal page now supports a human override (verdict + confidence + free-text note) and run delete; both recompute the parent doc latest verdict and re-run SharePoint write-back so the tracker stays in sync. Override is preserved alongside the LLM analysis (provenance: LLM result kept, override clearly badged "Overridden" in history). Header on /deal-analysis now links to Saved analyses. Parser accepts Priority as an alias for Deal # since the SharePoint sheet renamed column A. | tsc --noEmit clean | DELETE on the only run currently leaves the prior AI columns in SharePoint untouched (no clearing pass). If we want stale verdicts wiped when last run is deleted, add a clearAiVerdictFromTracker call in the DELETE route.
2026-05-07 | Claude Code (Opus 4.7) | src/app/updatelog/page.tsx; src/context/agent-update-log.txt; AGENTS.md | Rebuilt /updatelog as a server component that reads src/context/agent-update-log.txt at request time and renders every entry as a video-game-style scrollable patch-notes list (newest first), replacing the prior hardcoded updates+roadmap+planned layout. Each row shows date, session, files, summary, validation pill (success/neutral/warning), and follow-ups. Added an AGENTS.md "Update log page" subsection that documents the contract: the page is sourced from the agent log, must keep the `date | session | files | summary | validation | follow-ups` pipe format with `; `-separated files, and any format change must update both the parser and the doc together. | tsc --noEmit clean | Page reads the file at every request (force-dynamic). If the log grows large enough to matter, consider build-time generation or pagination. Theme-aware overlays now use Tailwind dark: variants instead of useTheme since the page is a server component.
